"#","Company","Industry","Type","Location","Profile URL"
"1","FIRE DOOR INSPECTION SOLUTIONS LIMITED","Architectural, Engineering, and Related Services","Subsidiary","CASTLEFORD, England, United Kingdom","https://dnb.com/business-directory/company-profiles/fire-door-inspection-solutions-limited.cfb13c08cc63a6e686a3f8f19b7de655"
"2","Brown Sprinkler Corporation","Building Equipment Contractors","Parent","Louisville, KY, United States","https://dnb.com/business-directory/company-profiles/brown-sprinkler-corporation.bcfbe55c5ff3cff431d4e73e02430832"
"3","JAPAN FIRE EQUIPMENT INSPECTION INSTITUT...","Civic and Social Organizations","Parent","CHOFU, TOKYO, Japan","https://dnb.com/business-directory/company-profiles/japan-fire-equipment-inspection-institute.d33db07bd048b13810251573b8a2eb72"
"4","Detect, Inc.","Building Equipment Contractors","Parent","Guilford, CT, United States","https://dnb.com/business-directory/company-profiles/detect-inc.ff7c9693ed8b7175c2e1f30a106a0c57"
"5","Guangdong Hongsheng Firefighting Facilit...","Building Equipment Contractors","Parent","Huizhou, Guangdong, China","https://dnb.com/business-directory/company-profiles/guangdong-hongsheng-firefighting-facility-inspection--testing-maintenance-coltd.023e83aa2688d05f77c546f1a6c007cf"
"6","Hunan Yujin Fire-fighting Technology Co....","Architectural, Engineering, and Related Services","Parent","Changsha, Hunan, China","https://dnb.com/business-directory/company-profiles/hunan-yujin-fire-fighting-technology-co-ltd.4f3ca1f6c52a2d0ce2cc248b827d8939"
"7","Fujian Heshun'an Fire-fighting Inspectio...","Residential Building Construction","Subsidiary","Ningde, Fujian, China","https://dnb.com/business-directory/company-profiles/fujian-heshunan-fire-fighting-inspection-and-testing-co-ltd.0bbfbf1d1ea3b3ec44836d3e15c332fd"
"8","OSAFE FIRE INSPECTION SDN. BHD.","Justice, Public Order, and Safety Activities","Independent","Bayan Lepas, Pulau Pinang, Malaysia","https://dnb.com/business-directory/company-profiles/osafe-fire-inspection-sdn-bhd.bfb0ad06a1075e4a215acab4f85a5815"
"9","Liaoning Ruicheng Fire-fighting Inspecti...","Business Support Services","Parent","Fushun, Liaoning, China","https://dnb.com/business-directory/company-profiles/liaoning-ruicheng-fire-fighting-inspection-and-testing-co-ltd.2d38b366e7d322b94600cfc89a7f368d"
"10","Zhejiang Lianyu Fire-fighting Inspection...","Other Specialty Trade Contractors","Parent","Hangzhou, Zhejiang, China","https://dnb.com/business-directory/company-profiles/zhejiang-lianyu-fire-fighting-inspection--testing-coltd.6b4a33de6eda7c04932a15eec0d209c9"
"11","Shenzhen Zhonghai Electric Fire-Fighting...","Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment M...","Independent","Shenzhen, Guangdong, China","https://dnb.com/business-directory/company-profiles/shenzhen-zhonghai-electric-fire-fighting-safety-inspection-and-testing-co-ltd.fe8f5a0edf4d6823c58cde499bc80abe"
"12","Beijing Anhuayuan Fire-fighting Technolo...","Business Support Services","Parent","Beijing, Beijing, China","https://dnb.com/business-directory/company-profiles/beijing-anhuayuan-fire-fighting-technology-inspection-and-testing-co-ltd.41ef7f81393fd3b7eb3388ef504c42d8"
"13","Inner Mongolia Electric Fire-fighting Sa...","Other Professional, Scientific, and Technical Services","Subsidiary","Hohhot, Inner Mongolia, China","https://dnb.com/business-directory/company-profiles/inner-mongolia-electric-fire-fighting-safety-inspection-station-co-ltd.691ff615fe31fc4c6cf91f7958448d4e"
"14","Liaoning Shengyuan Fire-Fighting Inspect...","Building Equipment Contractors","Independent","Dalian, Liaoning, China","https://dnb.com/business-directory/company-profiles/liaoning-shengyuan-fire-fighting-inspection-and-testing-engineering-co-ltd.0be879aef916cda73a5ee7cbfcb44bf2"
"15","Hubei Baoping Fire-fighting Facility Ins...","Building Equipment Contractors","Independent","Wuxue, Hubei, China","https://dnb.com/business-directory/company-profiles/hubei-baoping-fire-fighting-facility-installation-inspection-and-testing-co-ltd.afae97ed04ec3549eae414fa836e2237"
"16","Guangdong Anxin Fire-Fighting Inspection...","Business Support Services","Parent","Dongguan, Guangdong, China","https://dnb.com/business-directory/company-profiles/guangdong-anxin-fire-fighting-inspection--testing-coltd.1f1e0f961fe416e4ea84806a10225eac"
"17","AL-RIMAL FOR TESTING ALARM SYSTEMS FIRE ...","Other Professional, Scientific, and Technical Services","Independent","Kirkuk, Kirkuk, Iraq","https://dnb.com/business-directory/company-profiles/al-rimal-for-testing-alarm-systems-fire-systems-and-equipment-and-engineering-inspection-limited.9e10b42558719c56b901f7de309a7be7"
"18","J Newton Enterprises, Inc.","Foundation, Structure, and Building Exterior Contractors","Parent","Inverness, FL, United States","https://dnb.com/business-directory/company-profiles/j-newton-enterprises-inc.719b2187ef4d9fc4973dbb6dbb1d1f87"
"19","Shaanxi Yahuawei Fire Equipment Co., Ltd","Machinery, Equipment, and Supplies Merchant Wholesalers","Independent","Baoji, Shaanxi, China","https://dnb.com/business-directory/company-profiles/shaanxi-yahuawei-fire-equipment-co-ltd.c35a9ecdac461a97aace5b155e419efc"
"20","Guangdong Guannan Fire-fighting Inspecti...","Residential Building Construction","Parent","Foshan, Guangdong, China","https://dnb.com/business-directory/company-profiles/guangdong-guannan-fire-fighting-inspection-and-testing-service-co-ltd.59f29b2ce6fa1597d2f65fd413bc6b85"
"21","Hebei Jinzhuosheng Fire-fighting Inspect...","Travel Arrangement and Reservation Services","Independent","Baoding, Hebei, China","https://dnb.com/business-directory/company-profiles/hebei-jinzhuosheng-fire-fighting-inspection-and-testing-co-ltd.15a57d210a9048d8f5485e14abff18b6"
"22","Liaoning Zhongtie Fire-Fighting Inspecti...","Professional and Commercial Equipment and Supplies Merchant Wholesalers","Independent","Shenyang, Liaoning, China","https://dnb.com/business-directory/company-profiles/liaoning-zhongtie-fire-fighting-inspection--testing-co-ltd.31d251749e2f77b9739124dd05cfe461"
"23","Henan Rui'an Fire-Fighting Facility Insp...","Lawn and Garden Equipment and Supplies Retailers","Parent","Zhengzhou, Henan, China","https://dnb.com/business-directory/company-profiles/henan-ruian-fire-fighting-facility-inspection--testing-coltd.72320d8e523cef9ced8767aa27ca89f6"
"24","Baoding Derui'an Fire-fighting Technolog...","Travel Arrangement and Reservation Services","Independent","Baoding, Hebei, China","https://dnb.com/business-directory/company-profiles/baoding-deruian-fire-fighting-technology-inspection-and-testing-co-ltd.b886de7ed89f9d7a01edbd64361c88e3"
"25","Guangdong Shu'an Electric Fire-fighting ...","Management, Scientific, and Technical Consulting Services","Independent","Shenzhen, Guangdong, China","https://dnb.com/business-directory/company-profiles/guangdong-shuan-electric-fire-fighting-safety-inspection-and-testing-co-ltd.b2c19458d0fb79acc8a590dc3b9a27a7"
"26","Liaoning Longtai Fire-fighting Inspectio...","Professional and Commercial Equipment and Supplies Merchant Wholesalers","Independent","Shenyang, Liaoning, China","https://dnb.com/business-directory/company-profiles/liaoning-longtai-fire-fighting-inspection-and-testing-co-ltd.2bddf0e3129e91da934e18980c7ed12a"
"27","Hunan Anke Engineering Group Co., Ltd.","Business Support Services","Parent","Changsha, Hunan, China","https://dnb.com/business-directory/company-profiles/hunan-anke-engineering-group-co-ltd.e98e4d63099c39c61601d2c2e72a607a"
"28","Henan Hongyu Fire-Fighting Inspection & ...","Business Support Services","Parent","Zhengzhou, Henan, China","https://dnb.com/business-directory/company-profiles/henan-hongyu-fire-fighting-inspection--testing-co-ltd.871fc71ecf2f1fa616ce6a09c9bafe7c"
"29","Fire Inspection Services Inc.","Other Support Services","Independent","Calgary, AB, Canada","https://dnb.com/business-directory/company-profiles/fire-inspection-services-inc.8e709c9fe0ed97a339b68d22b7646931"
"30","Jilin Shengan Jianzhu Fire-Fighting Faci...","Other Fabricated Metal Product Manufacturing","Subsidiary","Changchun, Jilin, China","https://dnb.com/business-directory/company-profiles/jilin-shengan-jianzhu-fire-fighting-facility-inspection--testing-co-ltd.e33427c13108170237b532cd9cabfaa1"
"31","Yangjiang Fire-Fighting Repairing Inspec...","Commercial and Industrial Machinery and Equipment (except Automotive and Electro...","Independent","Yangjiang, Guangdong, China","https://dnb.com/business-directory/company-profiles/yangjiang-fire-fighting-repairing-inspection--testing-department.274dab7bacd0a3e628bcebc506b5f914"
"32","Qingdao Tongcheng Office Fire-fighting S...","Machinery, Equipment, and Supplies Merchant Wholesalers","Subsidiary","Qingdao, Shandong, China","https://dnb.com/business-directory/company-profiles/qingdao-tongcheng-office-fire-fighting-safety-inspection-and-testing-co-ltd.48678ad3a1d823a19425d7183d78c8bc"
"33","Tieling Fengping Fire-fighting Facility ...","Business Support Services","Independent","Tieling, Liaoning, China","https://dnb.com/business-directory/company-profiles/tieling-fengping-fire-fighting-facility-inspection--testing-co-ltd.d4828b7fd4c2da0d11fd4b405a9a6077"
"34","Henan Xin'anli Fire Protection Technolog...","Business Support Services","Parent","Zhengzhou, Henan, China","https://dnb.com/business-directory/company-profiles/henan-xinanli-fire-protection-technology-co-ltd.3a52dda40fd6b0e66c2c9816a88c95c7"
"35","Wenzhou Jingcheng Electrical Fire Facili...","Other Professional, Scientific, and Technical Services","Parent","Wenzhou, Zhejiang, China","https://dnb.com/business-directory/company-profiles/wenzhou-jingcheng-electrical-fire-facilities-safety-inspection--co-ltd.a5496537e1b5defe5c295a7f682525b7"
"36","Hubei Construction Fire-fighting Facilit...","Other Specialty Trade Contractors","Parent","Wuhan, Hubei, China","https://dnb.com/business-directory/company-profiles/hubei-construction-fire-fighting-facility-inspection-and-testing-repairingcenterco-ltd.96ec0039006c2095c31b7b37f9f55bdc"
"37","JAEDS HOLDINGS LTD","Management of Companies and Enterprises","Parent","BIRMINGHAM, England, United Kingdom","https://dnb.com/business-directory/company-profiles/jaeds-holdings-ltd.588ff6f16a0f4b14fac8b9da00103afb"
